StartDate;EndDate;Status;IPAddress;Progress;Duration (in seconds);Finished;RecordedDate;ResponseId;RecipientLastName;RecipientFirstName;RecipientEmail;ExternalReference;LocationLatitude;LocationLongitude;DistributionChannel;UserLanguage;Q6;Q7;Q8;Q9;Q10;Q11;Q12_First Click;Q12_Last Click;Q12_Page Submit;Q12_Click Count;Q15;Q17;Q19;Q20;Q22;Q23;Q24;Q25;Q26;Q32;Q33;Q34;Q35;Q36;Displayed_Block;cognitive_level
01.06.2020 18:24;01.06.2020 18:36;IP Address;77.115.197.234;100;718;True;01.06.2020 18:36;R_3rMc3A3b9UvuYz9;;;;;50,08839417;19,9066925;anonymous;PL;;;;;;;;;;;That teammates’ critique will make you feel some discomfort.;;Yes;No;Increased;Did not disagree;Provided very similar;Positive;Want to;Male;18 - 24;Bachelor's degree;3-5 years;Regular employee, specialist, or other operational roles;Cognitive-Understanding-of-the-Paradox;Low
01.06.2020 18:29;01.06.2020 18:37;IP Address;83.6.209.175;100;439;True;01.06.2020 18:37;R_xi04nPSQdzdFpM5;;;;;52,14590454;20,9559021;anonymous;PL;;;;;;;;;;;;;Yes;No;Increased;Did not disagree;Provided a very different;Positive;Want a little bit to;Male;25 - 34;Master's degree;3-5 years;Regular employee, specialist, or other operational roles;No-Resolution-Strategy;Low
01.06.2020 18:32;01.06.2020 18:39;IP Address;31.60.159.71;100;470;True;01.06.2020 18:39;R_2y2bomkX9F2Msim;;;;;51,7736969;19,47669983;anonymous;PL;;;;;;;;;;;;That your teammates will be devil’s advocates.;Yes;No;Very much increased;Did not disagree;Provided very similar;Positive;Want to;Female;18 - 24;Secondary or post-secondary education;I do not have any professional experience;;Decision-making-as-a-Play;Low
01.06.2020 18:39;01.06.2020 18:47;IP Address;92.110.1.123;100;444;True;01.06.2020 18:47;R_RQqGjqWnRKYQrAJ;;;;;51,92979431;4,456207275;anonymous;EN;;;;;;;;;;;;;Yes;No;Increased;Did not disagree;Provided the same;Positive;Want to;Male;25 - 34;Bachelor's degree;0-2 years;Regular employee, specialist, or other operational roles;No-Resolution-Strategy;Low
01.06.2020 18:46;01.06.2020 18:49;IP Address;217.121.45.20;100;198;True;01.06.2020 18:49;R_1KlNmeamYWa7Od4;;;;;52,78540039;6,117492676;anonymous;EN;;;;;;;;;;;That you should start as soon as you can.;;No;No;Increased;Somewhat disagreed;Provided a very different;Neutral;May or may not;Male;18 - 24;Master's degree;I do not have any professional experience;;Cognitive-Understanding-of-the-Paradox;Low
01.06.2020 18:45;01.06.2020 18:53;IP Address;77.61.33.93;100;464;True;01.06.2020 18:53;R_1l3J3u7pOmPPkLR;;;;;51,86120605;4,365707397;anonymous;EN;;;;;;;;;;;;That previous entrepreneurship booth failed to achieve its goal.;Yes;No;Very much increased;Did not disagree;Provided very similar;Positive;Want to;Male;18 - 24;Master's degree;0-2 years;Regular employee, specialist, or other operational roles;Decision-making-as-a-Play;Low
01.06.2020 18:43;01.06.2020 18:54;IP Address;83.28.238.102;100;705;True;01.06.2020 18:54;R_2WHe326qMACR9T1;;;;;52,24920654;21,00030518;anonymous;PL;;;;;;;;;;;That teammates’ critique will make you feel some discomfort.;;Yes;No;Increased;Did not disagree;Provided the same;Positive;Want to;Female;25 - 34;Master's degree;5-7 years;Regular employee, specialist, or other operational roles;Cognitive-Understanding-of-the-Paradox;Low
01.06.2020 18:48;01.06.2020 18:58;IP Address;193.30.1.15;100;625;True;01.06.2020 18:58;R_1IzPvexAgrobubU;;;;;52,19970703;20,86849976;anonymous;PL;;;;;;;;;;;;That your teammates will be devil’s advocates.;Yes;No;Increased;Did not disagree;Provided very similar;Strongly positive;Very much want to;Female;18 - 24;Bachelor's degree;0-2 years;Manager;Decision-making-as-a-Play;Low
01.06.2020 18:49;01.06.2020 18:59;IP Address;5.173.165.54;100;559;True;01.06.2020 18:59;R_3P5BfoYKlg4mDTP;;;;;51,74459839;19,46260071;anonymous;PL;;;;;;;;;;;;;Yes;No;Very much increased;Did not disagree;Provided the same;Positive;Very much want to;Female;25 - 34;Master's degree;7 or more years;Regular employee, specialist, or other operational roles;No-Resolution-Strategy;Low
01.06.2020 18:57;01.06.2020 18:59;IP Address;87.160.245.228;100; ;True;01.06.2020 18:59;R_RyiybRsY587jicF;;;;;50,77450562;6,086105347;anonymous;EN;;;;;;;;;;;That Startup Incubator does not like the idea of joint booth.;;Yes;Yes;Decreased;Disagreed a little bit;Provided a bit different;Strongly negative;Don’t want to;Male;18 - 24;Bachelor's degree;5-7 years;Manager;Cognitive-Understanding-of-the-Paradox;Low
01.06.2020 18:54;01.06.2020 19:03;IP Address;89.64.88.206;100;522;True;01.06.2020 19:03;R_27JqJsQV9Jr81Mo;;;;;52,24130249;21,00830078;anonymous;PL;;;;;;;;;;;;That your teammates will be devil’s advocates.;Yes;No;Very much increased;Did not disagree;Provided the same;Strongly positive;Very much want to;Female;18 - 24;Bachelor's degree;0-2 years;Regular employee, specialist, or other operational roles;Decision-making-as-a-Play;Low
01.06.2020 18:53;01.06.2020 19:07;IP Address;159.205.213.141;100;836;True;01.06.2020 19:07;R_2P0Y98YrSkX7q4t;;;;;52,10009766;21,01029968;anonymous;PL;;;;;;;;;;;That teammates’ critique will make you feel some discomfort.;;Yes;No;Very much increased;Did not disagree;Provided the same;Strongly positive;Want to;Female;18 - 24;Bachelor's degree;0-2 years;Regular employee, specialist, or other operational roles;Cognitive-Understanding-of-the-Paradox;Low
01.06.2020 18:42;01.06.2020 19:09;IP Address;83.28.246.10;100;1607;True;01.06.2020 19:09;R_1DwXREkItV7EMJs;;;;;52,17370605;21,10470581;anonymous;PL;;;;;;;;;;;That teammates’ critique will make you feel some discomfort.;;Yes;No;Very much increased;Did not disagree;Provided the same;Strongly positive;Very much want to;Female;18 - 24;Master's degree;3-5 years;Regular employee, specialist, or other operational roles;Cognitive-Understanding-of-the-Paradox;Low
01.06.2020 19:07;01.06.2020 19:16;IP Address;93.105.176.167;100;533;True;01.06.2020 19:16;R_25MX9tZsASWMbMf;;;;;52,24920654;21,00030518;anonymous;PL;;;;;;;;;;;;;Yes;No;Very much increased;Did not disagree;Provided very similar;Strongly positive;Want to;Female;18 - 24;Bachelor's degree;0-2 years;Regular employee, specialist, or other operational roles;No-Resolution-Strategy;Low
01.06.2020 19:10;01.06.2020 19:17;IP Address;89.64.70.1;100;446;True;01.06.2020 19:17;R_BD5rS2kJLPqSMk9;;;;;52,24920654;21,00030518;anonymous;PL;;;;;;;;;;;That teammates’ critique will make you feel some discomfort.;;Yes;No;Increased;Did not disagree;Provided the same;Positive;Want to;Female;25 - 34;Master's degree;5-7 years;Regular employee, specialist, or other operational roles;Cognitive-Understanding-of-the-Paradox;Low
01.06.2020 19:11;01.06.2020 19:21;IP Address;88.156.143.185;100;624;True;01.06.2020 19:21;R_1LbuQ1lTAM2SnRO;;;;;52,24920654;21,00030518;anonymous;PL;;;;;;;;;;;That teammates’ critique will make you feel some discomfort.;;Yes;No;Increased;Did not disagree;Provided very similar;Strongly positive;Very much want to;Female;18 - 24;Bachelor's degree;3-5 years;Regular employee, specialist, or other operational roles;Cognitive-Understanding-of-the-Paradox;Low
01.06.2020 19:18;01.06.2020 19:29;IP Address;89.64.74.157;100;648;True;01.06.2020 19:29;R_3QLaZHTOq45015k;;;;;52,24920654;21,00030518;anonymous;PL;;;;;;;;;;;;;No;No;Increased;Did not disagree;Provided somewhat similar;Positive;Want a little bit to;Female;25 - 34;Master's degree;0-2 years;Regular employee, specialist, or other operational roles;No-Resolution-Strategy;Low
01.06.2020 19:25;01.06.2020 19:31;IP Address;79.191.246.122;100;341;True;01.06.2020 19:31;R_1IA6viTGh13Dst8;;;;;51,24890137;22,54649353;anonymous;PL;;;;;;;;;;;;That you should start as soon as you can.;Yes;No;Very much increased;Did not disagree;Provided the same;Strongly positive;Very much want to;Female;25 - 34;Ph.D. or higher;7 or more years;Regular employee, specialist, or other operational roles;Decision-making-as-a-Play;Low
01.06.2020 19:21;01.06.2020 19:31;IP Address;37.30.52.247;100;596;True;01.06.2020 19:31;R_3e1T1AVAyMQNzGG;;;;;52,26719666;20,98899841;anonymous;PL;;;;;;;;;;;;;Yes;No;Very much increased;Did not disagree;Provided the same;Positive;Want to;Female;25 - 34;Secondary or post-secondary education;3-5 years;Regular employee, specialist, or other operational roles;No-Resolution-Strategy;Low
